#
# Poisson, degree distribution. G(1000, 10000). 440 (0.4400) nodes with in-deg > avg deg (20.0), 0 (0.0000) with >2*avg.deg (Sun Nov 17 16:23:28 2019)
#
# In-degree	Count
9	1
10	7
11	7
12	20
13	20
14	51
15	43
16	64
17	78
18	99
19	84
20	86
21	99
22	73
23	64
24	50
25	40
26	39
27	27
28	17
29	8
30	7
31	7
32	1
33	6
34	1
38	1
